,id,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
104,1veCEMe2GY4W8ECYEVasG8,Dixie Boy,Joseph Petersen,0.0135,0.162,0.0254,0.694,0.199,0.0832
26,5F7IJrXD6Fa3EmqoYE0gU4,Say Goodbye,Chris Brown,0.00167,0.0784,0.0,0.502,0.8,0.388
